,gene_name,gene_num
10557,ZNF394,ENSG00000160908
10558,CPSF4,ENSG00000160917
10559,LY6E,ENSG00000160932
10560,VPS28,ENSG00000160948
10561,TONSL,ENSG00000160949
10562,PTGER1,ENSG00000160951
10563,MUM1,ENSG00000160953
10564,RECQL4,ENSG00000160957
10565,LRRC14,ENSG00000160959
10566,ZNF333,ENSG00000160961
10567,COL26A1,ENSG00000160963
10568,PPP1R16A,ENSG00000160972
10569,FOXH1,ENSG00000160973
10570,ORAI2,ENSG00000160991
10571,ALKBH4,ENSG00000160993
10572,CCDC105,ENSG00000160994
10573,SH2B2,ENSG00000160999
10574,MRNIP,ENSG00000161010
10575,SQSTM1,ENSG00000161011
10576,MGAT4B,ENSG00000161013
10577,RPL8,ENSG00000161016
10578,MAML1,ENSG00000161021
10579,PGLYRP2,ENSG00000161031
10580,LRWD1,ENSG00000161036
10581,FBXL13,ENSG00000161040
10582,NAPEPLD,ENSG00000161048
10583,SCGB3A1,ENSG00000161055
10584,PSMC2,ENSG00000161057
10585,CELF5,ENSG00000161082
10586,MFSD12,ENSG00000161091
10587,AC008132.13,ENSG00000161103
10588,XXbac-B444P24.10,ENSG00000161132
10589,USP41,ENSG00000161133
10590,TUBA3FP,ENSG00000161149
10591,YDJC,ENSG00000161179
10592,CCDC116,ENSG00000161180
10593,DVL3,ENSG00000161202
10594,AP2M1,ENSG00000161203
10595,ABCF3,ENSG00000161204
10596,PCYT1A,ENSG00000161217
10597,FBXO27,ENSG00000161243
10598,DMKN,ENSG00000161249
10599,U2AF1L4,ENSG00000161265
10600,BDH1,ENSG00000161267
10601,NPHS1,ENSG00000161270
10602,THAP8,ENSG00000161277
10603,COX7A1,ENSG00000161281
10604,ZNF382,ENSG00000161298
10605,LRRC56,ENSG00000161328
10606,PLXDC1,ENSG00000161381
10607,PGAP3,ENSG00000161395
10608,IKZF3,ENSG00000161405
10609,GRIN2C,ENSG00000161509
10610,FDXR,ENSG00000161513
10611,SAP30BP,ENSG00000161526
10612,ACOX1,ENSG00000161533
10613,PRPSAP1,ENSG00000161542
10614,CYGB,ENSG00000161544
10615,SRSF2,ENSG00000161547
10616,ZNF577,ENSG00000161551
10617,TMEM143,ENSG00000161558
10618,KLHL10,ENSG00000161594
10619,CCDC155,ENSG00000161609
10620,HCRT,ENSG00000161610
10621,ALDH16A1,ENSG00000161618
10622,DCD,ENSG00000161634
10623,ITGA5,ENSG00000161638
10624,SIGLEC11,ENSG00000161640
10625,ZNF385A,ENSG00000161642
10626,SIGLEC16,ENSG00000161643
10627,MPP3,ENSG00000161647
10628,CD300LG,ENSG00000161649
10629,IZUMO2,ENSG00000161652
10630,NAGS,ENSG00000161653
10631,LSM12,ENSG00000161654
10632,ASB16,ENSG00000161664
10633,EMC10,ENSG00000161671
10634,JOSD2,ENSG00000161677
10635,SHANK1,ENSG00000161681
10636,FAM171A2,ENSG00000161682
10637,DBF4B,ENSG00000161692
10638,PLCD3,ENSG00000161714
10639,FMNL3,ENSG00000161791
10640,AQP5,ENSG00000161798
10641,RACGAP1,ENSG00000161800
10642,OR7G1,ENSG00000161807
10643,LARP4,ENSG00000161813
10644,GRASP,ENSG00000161835
10645,RAVER1,ENSG00000161847
10646,KRT84,ENSG00000161849
10647,KRT82,ENSG00000161850
10648,SYCE2,ENSG00000161860
10649,SPC24,ENSG00000161888
10650,IP6K3,ENSG00000161896
10651,LEMD2,ENSG00000161904
10652,ALOX15,ENSG00000161905
10653,TREML1,ENSG00000161911
10654,ADCY10P1,ENSG00000161912
10655,ZNF653,ENSG00000161914
10656,MED11,ENSG00000161920
10657,CXCL16,ENSG00000161921
10658,SCIMP,ENSG00000161929
10659,RNASEK-C17orf49,ENSG00000161939
10660,BCL6B,ENSG00000161940
10661,ASGR2,ENSG00000161944
10662,TNFSF13,ENSG00000161955
10663,SENP3,ENSG00000161956
10664,FGF11,ENSG00000161958
10665,EIF4A1,ENSG00000161960
10666,RPL26,ENSG00000161970
10667,CCDC42,ENSG00000161973
10668,POLR3K,ENSG00000161980
10669,SNRNP25,ENSG00000161981
10670,PRR35,ENSG00000161992
10671,WDR90,ENSG00000161996
10672,JMJD8,ENSG00000161999
10673,CCDC78,ENSG00000162004
10674,MSLNL,ENSG00000162006
10675,SSTR5,ENSG00000162009
10676,SPSB3,ENSG00000162032
10677,MEIOB,ENSG00000162039
10678,HS3ST6,ENSG00000162040
10679,C16orf59,ENSG00000162062
10680,CCNF,ENSG00000162063
10681,TBC1D24,ENSG00000162065
10682,AMDHD2,ENSG00000162066
10683,NTN3,ENSG00000162068
10684,BICDL2,ENSG00000162069
10685,PAQR4,ENSG00000162073
10686,FLYWCH2,ENSG00000162076
10687,ZG16B,ENSG00000162078
10688,ZNF75A,ENSG00000162086
10689,ADCY9,ENSG00000162104
10690,SHANK2,ENSG00000162105
10691,CLPB,ENSG00000162129
10692,NEU3,ENSG00000162139
10693,CYB561A3,ENSG00000162144
10694,PPP1R32,ENSG00000162148
10695,ASRGL1,ENSG00000162174
10696,GNG3,ENSG00000162188
10697,UBXN1,ENSG00000162191
10698,LBHD1,ENSG00000162194
10699,TTC9C,ENSG00000162222
10700,TAF6L,ENSG00000162227
10701,NXF1,ENSG00000162231
10702,STX5,ENSG00000162236
10703,SLC25A45,ENSG00000162241
10704,RPL29,ENSG00000162244
10705,ITIH3,ENSG00000162267
10706,SYVN1,ENSG00000162298
10707,ZFPL1,ENSG00000162300
10708,RPS6KA4,ENSG00000162302
10709,LRP5,ENSG00000162337
10710,TPCN2,ENSG00000162341
10711,FGF19,ENSG00000162344
10712,CYP4A22,ENSG00000162365
10713,PDZK1IP1,ENSG00000162366
10714,TAL1,ENSG00000162367
10715,CMPK1,ENSG00000162368
10716,BEND5,ENSG00000162373
10717,ELAVL4,ENSG00000162374
10718,COA7,ENSG00000162377
10719,ZYG11B,ENSG00000162378
10720,SLC1A7,ENSG00000162383
10721,C1orf123,ENSG00000162384
10722,MAGOH,ENSG00000162385
10723,ACOT11,ENSG00000162390
10724,FAM151A,ENSG00000162391
10725,PARS2,ENSG00000162396
10726,LEXM,ENSG00000162398
10727,BSND,ENSG00000162399
10728,USP24,ENSG00000162402
10729,PLPP3,ENSG00000162407
10730,NOL9,ENSG00000162408
10731,PRKAA2,ENSG00000162409
10732,KLHL21,ENSG00000162413
10733,ZSWIM5,ENSG00000162415
10734,GMEB1,ENSG00000162419
10735,SLC45A1,ENSG00000162426
10736,SELENON,ENSG00000162430
10737,AK4,ENSG00000162433
10738,JAK1,ENSG00000162434
10739,RAVER2,ENSG00000162437
10740,CTRC,ENSG00000162438
10741,LZIC,ENSG00000162441
10742,RBP7,ENSG00000162444
10743,KNCN,ENSG00000162456
10744,FBLIM1,ENSG00000162458
10745,TMEM82,ENSG00000162460
10746,SLC25A34,ENSG00000162461
10747,AKR7A3,ENSG00000162482
10748,DRAXIN,ENSG00000162490
10749,PDPN,ENSG00000162493
10750,LRRC38,ENSG00000162494
10751,DHRS3,ENSG00000162496
10752,MATN1,ENSG00000162510
10753,LAPTM5,ENSG00000162511
10754,SDC3,ENSG00000162512
10755,PEF1,ENSG00000162517
10756,SYNC,ENSG00000162520
10757,RBBP4,ENSG00000162521
10758,KIAA1522,ENSG00000162522
10759,TSSK3,ENSG00000162526
10760,TMCO4,ENSG00000162542
10761,UBXN10,ENSG00000162543
10762,CAMK2N1,ENSG00000162545
10763,ALPL,ENSG00000162551
10764,WNT4,ENSG00000162552
10765,TTLL10,ENSG00000162571
10766,SCNN1D,ENSG00000162572
10767,MXRA8,ENSG00000162576
10768,FAAP20,ENSG00000162585
10769,MEGF6,ENSG00000162591
10770,CCDC27,ENSG00000162592
10771,IL23R,ENSG00000162594
10772,DIRAS3,ENSG00000162595
10773,C1orf87,ENSG00000162598
10774,NFIA,ENSG00000162599
10775,OMA1,ENSG00000162600
10776,MYSM1,ENSG00000162601
10777,TM2D1,ENSG00000162604
10778,USP1,ENSG00000162607
10779,FUBP1,ENSG00000162613
10780,NEXN,ENSG00000162614
10781,DNAJB4,ENSG00000162616
10782,ADGRL4,ENSG00000162618
10783,LRRIQ3,ENSG00000162620
10784,LRRC53,ENSG00000162621
10785,TYW3,ENSG00000162623
10786,LHX8,ENSG00000162624
10787,SNX7,ENSG00000162627
10788,B3GALT2,ENSG00000162630
10789,NTNG1,ENSG00000162631
10790,FAM102B,ENSG00000162636
10791,HENMT1,ENSG00000162639
10792,AKNAD1,ENSG00000162641
10793,C1orf52,ENSG00000162642
10794,WDR63,ENSG00000162643
10795,GBP2,ENSG00000162645
10796,ATXN7L2,ENSG00000162650
10797,GBP4,ENSG00000162654
10798,ZNF326,ENSG00000162664
10799,HFM1,ENSG00000162669
10800,BRINP3,ENSG00000162670
10801,GFI1,ENSG00000162676
10802,LSP1P3,ENSG00000162685
10803,KCNT2,ENSG00000162687
10804,AGL,ENSG00000162688
10805,VCAM1,ENSG00000162692
10806,EXTL2,ENSG00000162694
10807,SLC30A7,ENSG00000162695
10808,DNAJA1P5,ENSG00000162699
10809,ZNF281,ENSG00000162702
10810,ARPC5,ENSG00000162704
10811,CADM3,ENSG00000162706
10812,NLRP3,ENSG00000162711
10813,ZNF496,ENSG00000162714
10814,TRIM58,ENSG00000162722
10815,SLAMF9,ENSG00000162723
10816,OR2M5,ENSG00000162727
10817,KCNJ9,ENSG00000162728
10818,IGSF8,ENSG00000162729
10819,DDR2,ENSG00000162733
10820,PEA15,ENSG00000162734
10821,PEX19,ENSG00000162735
10822,NCSTN,ENSG00000162736
10823,VANGL2,ENSG00000162738
10824,SLAMF6,ENSG00000162739
10825,OLFML2B,ENSG00000162745
10826,FCRLB,ENSG00000162746
10827,FCGR3B,ENSG00000162747
10828,SLC9C2,ENSG00000162753
10829,KLHDC9,ENSG00000162755
10830,C1orf74,ENSG00000162757
10831,LMX1A,ENSG00000162761
10832,LRRC52,ENSG00000162763
10833,FLVCR1,ENSG00000162769
10834,FAM71A,ENSG00000162771
10835,ATF3,ENSG00000162772
10836,RBM15,ENSG00000162775
10837,DENND2D,ENSG00000162777
10838,AXDND1,ENSG00000162779
10839,TDRD5,ENSG00000162782
10840,IER5,ENSG00000162783
10841,SNED1,ENSG00000162804
10842,BPNT1,ENSG00000162813
10843,SPATA17,ENSG00000162814
10844,C1orf115,ENSG00000162817
10845,BROX,ENSG00000162819
10846,NBPF20,ENSG00000162825
10847,ACP6,ENSG00000162836
10848,MT2P1,ENSG00000162840
10849,WDR64,ENSG00000162843
10850,KIF26B,ENSG00000162849
10851,TFB2M,ENSG00000162851
10852,CNST,ENSG00000162852
10853,PPP1R21,ENSG00000162869
10854,KLHDC8A,ENSG00000162873
10855,PM20D1,ENSG00000162877
10856,PKDCC,ENSG00000162878
10857,OXER1,ENSG00000162881
10858,HAAO,ENSG00000162882
10859,B3GALNT2,ENSG00000162885
10860,C1orf147,ENSG00000162888
10861,MAPKAPK2,ENSG00000162889
10862,IL20,ENSG00000162891
10863,IL24,ENSG00000162892
10864,FCMR,ENSG00000162894
10865,PIGR,ENSG00000162896
10866,FCAMR,ENSG00000162897
10867,CAPN2,ENSG00000162909
10868,MRPL55,ENSG00000162910
10869,C1orf145,ENSG00000162913
10870,WDR26,ENSG00000162923
10871,REL,ENSG00000162924
10872,PUS10,ENSG00000162927
10873,PEX13,ENSG00000162928
10874,KIAA1841,ENSG00000162929
10875,TRIM17,ENSG00000162931
10876,RFTN2,ENSG00000162944
10877,DISC1,ENSG00000162946
10878,AC007364.1,ENSG00000162947
10879,CAPN13,ENSG00000162949
10880,LRRTM1,ENSG00000162951
10881,MEMO1,ENSG00000162959
10882,DPY30,ENSG00000162961
10883,TYW5,ENSG00000162971
10884,MAIP1,ENSG00000162972
10885,KCNF1,ENSG00000162975
10886,PQLC3,ENSG00000162976
10887,ARL5A,ENSG00000162980
10888,FAM84A,ENSG00000162981
10889,KCNJ3,ENSG00000162989
10890,NEUROD1,ENSG00000162992
10891,CLHC1,ENSG00000162994
10892,PRORSD1P,ENSG00000162997
10893,FRZB,ENSG00000162998
10894,DUSP19,ENSG00000162999
10895,CFAP36,ENSG00000163001
10896,NUP35,ENSG00000163002
10897,CCDC138,ENSG00000163006
10898,C2orf48,ENSG00000163009
10899,ZSWIM2,ENSG00000163012
10900,FBXO41,ENSG00000163013
10901,ALMS1P1,ENSG00000163016
10902,ACTG2,ENSG00000163017
10903,WDCP,ENSG00000163026
10904,SMC6,ENSG00000163029
10905,VSNL1,ENSG00000163032
10906,CCDC74A,ENSG00000163040
10907,H3F3A,ENSG00000163041
10908,ANKRD30BL,ENSG00000163046
10909,COQ8A,ENSG00000163050
10910,SLC16A14,ENSG00000163053
10911,TEKT4,ENSG00000163060
10912,EN1,ENSG00000163064
10913,SGCB,ENSG00000163069
10914,SPATA18,ENSG00000163071
10915,NOSTRIN,ENSG00000163072
10916,CFAP221,ENSG00000163075
10917,CCDC140,ENSG00000163081
10918,SGPP2,ENSG00000163082
10919,INHBB,ENSG00000163083
10920,XIRP2,ENSG00000163092
10921,BBS5,ENSG00000163093
10922,BIRC8,ENSG00000163098
10923,SMARCAD1,ENSG00000163104
10924,HPGDS,ENSG00000163106
10925,PDLIM5,ENSG00000163110
10926,PDHA2,ENSG00000163114
10927,STPG2,ENSG00000163116
10928,NEURL3,ENSG00000163121
10929,RPRD2,ENSG00000163125
10930,ANKRD23,ENSG00000163126
10931,CTSS,ENSG00000163131
10932,MSX1,ENSG00000163132
10933,PACRGL,ENSG00000163138
10934,BNIPL,ENSG00000163141
10935,C1QTNF7,ENSG00000163145
10936,TNFAIP8L2,ENSG00000163154
10937,LYSMD1,ENSG00000163155
10938,SCNM1,ENSG00000163156
10939,TMOD4,ENSG00000163157
10940,VPS72,ENSG00000163159
10941,ERCC3,ENSG00000163161
10942,RNF149,ENSG00000163162
10943,IWS1,ENSG00000163166
10944,BOLA3,ENSG00000163170
10945,CDC42EP3,ENSG00000163171
10946,S100A11,ENSG00000163191
10947,LCE3D,ENSG00000163202
10948,SMCP,ENSG00000163206
10949,IVL,ENSG00000163207
10950,SPRR3,ENSG00000163209
10951,DHX57,ENSG00000163214
10952,SPRR2D,ENSG00000163216
10953,BMP10,ENSG00000163217
10954,PGLYRP4,ENSG00000163218
10955,ARHGAP25,ENSG00000163219
10956,S100A9,ENSG00000163220
10957,S100A12,ENSG00000163221
10958,TGFA,ENSG00000163235
10959,TDRD10,ENSG00000163239
10960,CCNYL1,ENSG00000163249
10961,FZD5,ENSG00000163251
10962,CRYGC,ENSG00000163254
10963,DCAF16,ENSG00000163257
10964,C1orf189,ENSG00000163263
10965,NPPC,ENSG00000163273
10966,GNPDA2,ENSG00000163281
10967,ALPP,ENSG00000163283
10968,GABRG1,ENSG00000163285
10969,ALPPL2,ENSG00000163286
10970,GABRB1,ENSG00000163288
10971,PAQR3,ENSG00000163291
10972,NIPAL1,ENSG00000163293
10973,ALPI,ENSG00000163295
10974,ANTXR2,ENSG00000163297
10975,HELQ,ENSG00000163312
10976,MRPS18C,ENSG00000163319
10977,CGGBP1,ENSG00000163320
10978,FAM175A,ENSG00000163322
10979,GPR155,ENSG00000163328
10980,DAPL1,ENSG00000163331
10981,PMVK,ENSG00000163344
10982,PBXIP1,ENSG00000163346
10983,CLDN1,ENSG00000163347
10984,PYGO2,ENSG00000163348
10985,HIPK1,ENSG00000163349
10986,LENEP,ENSG00000163352
10987,DCST2,ENSG00000163354
10988,DCST1,ENSG00000163357
10989,COL6A3,ENSG00000163359
10990,C1orf106,ENSG00000163362
10991,LINC01116,ENSG00000163364
10992,YY1AP1,ENSG00000163374
10993,KBTBD8,ENSG00000163376
10994,FAM19A4,ENSG00000163377
10995,EOGT,ENSG00000163378
10996,LMOD3,ENSG00000163380
10997,NAXE,ENSG00000163382
10998,POGLUT1,ENSG00000163389
10999,SLC22A15,ENSG00000163393
11000,CCKAR,ENSG00000163394
11001,IGFN1,ENSG00000163395
11002,ATP1A1,ENSG00000163399
11003,SLC15A2,ENSG00000163406
11004,EIF4E3,ENSG00000163412
11005,PROK2,ENSG00000163421
11006,C3orf30,ENSG00000163424
11007,LRRC58,ENSG00000163428
11008,FSTL1,ENSG00000163430
11009,LMOD1,ENSG00000163431
11010,ELF3,ENSG00000163435
11011,PDCL2,ENSG00000163440
11012,TMEM183A,ENSG00000163444
11013,TMEM169,ENSG00000163449
11014,IGFBP7,ENSG00000163453
11015,TRIM46,ENSG00000163462
11016,KRTCAP2,ENSG00000163463
11017,CXCR1,ENSG00000163464
11018,ARPC2,ENSG00000163466
11019,TSACC,ENSG00000163467
11020,CCT3,ENSG00000163468
11021,TMEM79,ENSG00000163472
11022,SSR2,ENSG00000163479
11023,RNF25,ENSG00000163481
11024,STK36,ENSG00000163482
11025,ADORA1,ENSG00000163485
11026,NEK10,ENSG00000163491
11027,CCDC141,ENSG00000163492
11028,FEV,ENSG00000163497
11029,CRYBA2,ENSG00000163499
11030,IHH,ENSG00000163501
11031,KIAA1524,ENSG00000163507
11032,EOMES,ENSG00000163508
11033,CWC22,ENSG00000163510
11034,AZI2,ENSG00000163512
11035,TGFBR2,ENSG00000163513
11036,RETNLB,ENSG00000163515
11037,ANKZF1,ENSG00000163516
11038,HDAC11,ENSG00000163517
11039,FCRL4,ENSG00000163518
11040,TRAT1,ENSG00000163519
11041,FBLN2,ENSG00000163520
11042,GLB1L,ENSG00000163521
11043,STT3B,ENSG00000163527
11044,CHCHD4,ENSG00000163528
11045,DPPA2,ENSG00000163530
11046,NFASC,ENSG00000163531
11047,FCRL1,ENSG00000163534
11048,SGO2,ENSG00000163535
11049,SERPINI1,ENSG00000163536
11050,CLASP2,ENSG00000163539
11051,SUCLG1,ENSG00000163541
11052,NUAK2,ENSG00000163545
11053,SPTA1,ENSG00000163554
11054,PRKCI,ENSG00000163558
11055,MNDA,ENSG00000163563
11056,PYHIN1,ENSG00000163564
11057,IFI16,ENSG00000163565
11058,AIM2,ENSG00000163568
11059,EFHB,ENSG00000163576
11060,EIF5A2,ENSG00000163577
11061,SLC2A2,ENSG00000163581
11062,RPL22L1,ENSG00000163584
11063,FABP1,ENSG00000163586
11064,PPM1L,ENSG00000163590
11065,ICA1L,ENSG00000163596
11066,SNHG16,ENSG00000163597
11067,CTLA4,ENSG00000163599
11068,ICOS,ENSG00000163600
11069,RYBP,ENSG00000163602
11070,PPP4R2,ENSG00000163605
11071,CD200R1,ENSG00000163606
11072,GTPBP8,ENSG00000163607
11073,NEPRO,ENSG00000163608
11074,SPICE1,ENSG00000163611
11075,FAM86KP,ENSG00000163612
11076,CCDC191,ENSG00000163617
11077,CADPS,ENSG00000163618
11078,NKX6-1,ENSG00000163623
11079,CDS1,ENSG00000163624
11080,WDFY3,ENSG00000163625
11081,COX18,ENSG00000163626
11082,PTPN13,ENSG00000163629
11083,SYNPR,ENSG00000163630
11084,ALB,ENSG00000163631
11085,C3orf49,ENSG00000163632
11086,C4orf36,ENSG00000163633
11087,THOC7,ENSG00000163634
11088,ATXN7,ENSG00000163635
11089,PSMD6,ENSG00000163636
11090,PRICKLE2,ENSG00000163637
11091,ADAMTS9,ENSG00000163638
11092,PPM1K,ENSG00000163644
11093,ERICH6,ENSG00000163645
11094,CLRN1,ENSG00000163646
11095,GMPS,ENSG00000163655
11096,TIPARP,ENSG00000163659
11097,CCNL1,ENSG00000163660
11098,PTX3,ENSG00000163661
11099,HESX1,ENSG00000163666
11100,DCLK3,ENSG00000163673
11101,SLMAP,ENSG00000163681
11102,RPL9,ENSG00000163682
11103,SMIM14,ENSG00000163683
11104,RPP14,ENSG00000163684
11105,ABHD6,ENSG00000163686
11106,DNASE1L3,ENSG00000163687
11107,C3orf67,ENSG00000163689
11108,RBM47,ENSG00000163694
11109,APBB2,ENSG00000163697
11110,IL17RE,ENSG00000163701
11111,IL17RC,ENSG00000163702
11112,CRELD1,ENSG00000163703
11113,PRRT3,ENSG00000163704
11114,FANCD2OS,ENSG00000163705
11115,PCOLCE2,ENSG00000163710
11116,U2SURP,ENSG00000163714
11117,MTMR14,ENSG00000163719
11118,TTC14,ENSG00000163728
11119,CXCL3,ENSG00000163734
11120,CXCL5,ENSG00000163735
11121,PPBP,ENSG00000163736
11122,PF4,ENSG00000163737
11123,MTHFD2L,ENSG00000163738
11124,CXCL1,ENSG00000163739
11125,RCHY1,ENSG00000163743
11126,PLSCR2,ENSG00000163746
11127,CCDC158,ENSG00000163749
11128,CPA3,ENSG00000163751
11129,GYG1,ENSG00000163754
11130,HPS3,ENSG00000163755
11131,TM4SF18,ENSG00000163762
11132,TOPBP1,ENSG00000163781
11133,RYK,ENSG00000163785
11134,SNRK,ENSG00000163788
11135,TCF23,ENSG00000163792
11136,DNAJC5G,ENSG00000163793
11137,UCN,ENSG00000163794
11138,ZNF513,ENSG00000163795
11139,SLC4A1AP,ENSG00000163798
11140,PLB1,ENSG00000163803
11141,SPDYA,ENSG00000163806
11142,KIAA1143,ENSG00000163807
11143,KIF15,ENSG00000163808
11144,TGM4,ENSG00000163810
11145,WDR43,ENSG00000163811
11146,ZDHHC3,ENSG00000163812
11147,CDCP1,ENSG00000163814
11148,CLEC3B,ENSG00000163815
11149,SLC6A20,ENSG00000163817
11150,LZTFL1,ENSG00000163818
11151,FYCO1,ENSG00000163820
11152,CCR1,ENSG00000163823
11153,RTP3,ENSG00000163825
11154,LRRC2,ENSG00000163827
11155,ELP6,ENSG00000163832
11156,FBXO40,ENSG00000163833
11157,DTX3L,ENSG00000163840
11158,ZNF148,ENSG00000163848
11159,NMNAT3,ENSG00000163864
11160,SMIM12,ENSG00000163866
11161,ZMYM6,ENSG00000163867
11162,TPRA1,ENSG00000163870
11163,YEATS2,ENSG00000163872
11164,GRIK3,ENSG00000163873
11165,ZC3H12A,ENSG00000163874
11166,MEAF6,ENSG00000163875
11167,SNIP1,ENSG00000163877
11168,DNALI1,ENSG00000163879
11169,POLR2H,ENSG00000163882
11170,KLF15,ENSG00000163884
11171,CFAP100,ENSG00000163885
11172,CAMK2N2,ENSG00000163888
11173,LIPH,ENSG00000163898
11174,TMEM41A,ENSG00000163900
11175,RPN1,ENSG00000163902
11176,SENP2,ENSG00000163904
11177,HEYL,ENSG00000163909
11178,IFT122,ENSG00000163913
11179,RHO,ENSG00000163914
11180,IGF2BP2-AS1,ENSG00000163915
11181,RFC4,ENSG00000163918
11182,RPL39L,ENSG00000163923
11183,BAP1,ENSG00000163930
11184,TKT,ENSG00000163931
11185,PRKCD,ENSG00000163932
11186,RFT1,ENSG00000163933
11187,SFMBT1,ENSG00000163935
11188,GNL3,ENSG00000163938
11189,PBRM1,ENSG00000163939
11190,UVSSA,ENSG00000163945
11191,FAM208A,ENSG00000163946
11192,ARHGEF3,ENSG00000163947
11193,SLBP,ENSG00000163950
11194,LRPAP1,ENSG00000163956
11195,ZDHHC19,ENSG00000163958
11196,SLC51A,ENSG00000163959
11197,UBXN7,ENSG00000163960
11198,RNF168,ENSG00000163961
11199,PIGX,ENSG00000163964
11200,MELTF,ENSG00000163975
11201,OTOP1,ENSG00000163982
11202,S100P,ENSG00000163993
11203,ABLIM2,ENSG00000163995
11204,EXO5,ENSG00000164002
11205,CLDN19,ENSG00000164007
11206,C1orf50,ENSG00000164008
11207,ERMAP,ENSG00000164010
11208,ZNF691,ENSG00000164011
11209,AIMP1,ENSG00000164022
11210,SGMS2,ENSG00000164023
11211,METAP1,ENSG00000164024
11212,DNAJB14,ENSG00000164031
11213,H2AFZ,ENSG00000164032
11214,EMCN,ENSG00000164035
11215,SLC9B1,ENSG00000164037
11216,SLC9B2,ENSG00000164038
11217,BDH2,ENSG00000164039
11218,PGRMC2,ENSG00000164040
11219,CDC25A,ENSG00000164045
11220,CAMP,ENSG00000164047
11221,ZNF589,ENSG00000164048
11222,FBXW12,ENSG00000164049
11223,PLXNB1,ENSG00000164050
11224,CCDC51,ENSG00000164051
11225,ATRIP,ENSG00000164053
11226,SHISA5,ENSG00000164054
11227,SPRY1,ENSG00000164056
11228,BSN,ENSG00000164061
11229,APEH,ENSG00000164062
11230,INTU,ENSG00000164066
11231,RNF123,ENSG00000164068
11232,HSPA4L,ENSG00000164070
11233,MFSD8,ENSG00000164073
11234,ABHD18,ENSG00000164074
11235,CAMKV,ENSG00000164076
11236,MON1A,ENSG00000164077
11237,MST1R,ENSG00000164078
11238,RAD54L2,ENSG00000164080
11239,TEX264,ENSG00000164081
11240,GRM2,ENSG00000164082
11241,DUSP7,ENSG00000164086
11242,POC1A,ENSG00000164087
11243,PPM1M,ENSG00000164088
11244,ETNPPL,ENSG00000164089
11245,WDR82,ENSG00000164091
11246,PITX2,ENSG00000164093
11247,C4orf3,ENSG00000164096
11248,PRSS12,ENSG00000164099
11249,NDST3,ENSG00000164100
11250,HMGB2,ENSG00000164104
11251,SAP30,ENSG00000164105
11252,SCRG1,ENSG00000164106
11253,HAND2,ENSG00000164107
11254,MAD2L1,ENSG00000164109
11255,ANXA5,ENSG00000164111
11256,TMEM155,ENSG00000164112
11257,ADAD1,ENSG00000164113
11258,MAP9,ENSG00000164114
11259,GUCY1A3,ENSG00000164116
11260,FBXO8,ENSG00000164117
11261,CEP44,ENSG00000164118
11262,HPGD,ENSG00000164120
11263,ASB5,ENSG00000164122
11264,C4orf45,ENSG00000164123
11265,TMEM144,ENSG00000164124
11266,FAM198B,ENSG00000164125
11267,NPY1R,ENSG00000164128
11268,NPY5R,ENSG00000164129
11269,NAA15,ENSG00000164134
11270,IL15,ENSG00000164136
11271,FAM160A1,ENSG00000164142
11272,ARFIP1,ENSG00000164144
11273,ICE1,ENSG00000164151
11274,HHIP,ENSG00000164161
11275,ANAPC10,ENSG00000164162
11276,ABCE1,ENSG00000164163
11277,OTUD4,ENSG00000164164
11278,LSM6,ENSG00000164167
11279,TMEM184C,ENSG00000164168
11280,PRMT9,ENSG00000164169
11281,ITGA2,ENSG00000164171
11282,MOCS2,ENSG00000164172
11283,SLC45A2,ENSG00000164175
11284,EDIL3,ENSG00000164176
11285,TMEM161B,ENSG00000164180
11286,ELOVL7,ENSG00000164181
11287,NDUFAF2,ENSG00000164182
11288,ZNF474,ENSG00000164185
11289,LMBRD2,ENSG00000164187
11290,RANBP3L,ENSG00000164188
11291,NIPBL,ENSG00000164190
11292,RNF180,ENSG00000164197
11293,ADGRV1,ENSG00000164199
11294,SLC25A46,ENSG00000164209
11295,STARD4,ENSG00000164211
11296,PGGT1B,ENSG00000164219
11297,F2RL2,ENSG00000164220
11298,CCDC112,ENSG00000164221
11299,ANKRD33B,ENSG00000164236
11300,CMBL,ENSG00000164237
11301,C5orf63,ENSG00000164241
11302,PRRC1,ENSG00000164244
11303,F2RL1,ENSG00000164251
11304,AGGF1,ENSG00000164252
11305,WDR41,ENSG00000164253
11306,PRDM9,ENSG00000164256
11307,NDUFS4,ENSG00000164258
11308,SCGB3A2,ENSG00000164265
11309,SPINK1,ENSG00000164266
11310,HTR4,ENSG00000164270
11311,ESM1,ENSG00000164283
11312,GRPEL2,ENSG00000164284
11313,CDC20B,ENSG00000164287
11314,ARSK,ENSG00000164291
11315,RHOBTB3,ENSG00000164292
11316,GPX8,ENSG00000164294
11317,TIGD6,ENSG00000164296
11318,SPZ1,ENSG00000164299
11319,SERINC5,ENSG00000164300
11320,ENPP6,ENSG00000164303
11321,CAGE1,ENSG00000164304
11322,CASP3,ENSG00000164305
11323,PRIMPOL,ENSG00000164306
11324,ERAP1,ENSG00000164307
11325,ERAP2,ENSG00000164308
11326,CMYA5,ENSG00000164309
11327,EGFLAM,ENSG00000164318
11328,CFAP97,ENSG00000164323
11329,TMEM174,ENSG00000164325
11330,CARTPT,ENSG00000164326
11331,RICTOR,ENSG00000164327
11332,PAPD4,ENSG00000164329
11333,EBF1,ENSG00000164330
